Date,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1/2/2010 22:00:00,4,,,,126,-8,85,1028,-6,SE,52.3,0,0
1/2/2010 23:00:00,4,,,,90,-8,85,1027,-6,SE,55.43,0,0
1/3/2010 00:00:00,4,,,,63,-7,92,1027,-6,SE,58.56,0.4,0.4
1/3/2010 01:00:00,4,,,,65,-8,85,1026,-6,SE,61.69,0.5,0.9
1/3/2010 02:00:00,4,,,,55,-8,92,1026,-7,SE,65.71,0.5,1.4
1/3/2010 03:00:00,4,,,,65,-8,92,1025,-7,SE,68.84,0.7,2.1
1/3/2010 04:00:00,4,,,,83,-8,92,1024,-7,SE,72.86,1.2,3.3
1/3/2010 05:00:00,4,,,,91,-9,92,1024,-8,SE,76.88,0.7,4
1/3/2010 06:00:00,4,,,,86,-10,85,1024,-8,SE,80.9,1,5
1/3/2010 07:00:00,4,,,,82,-10,92,1024,-9,SE,84.92,0.7,5.7
1/3/2010 08:00:00,4,,,,86,-10,92,1024,-9,SE,89.84,0.5,6.2
1/3/2010 09:00:00,4,,,,78,-11,85,1023,-9,SE,93.86,0.7,6.9
1/3/2010 10:00:00,4,,,,98,-11,85,1023,-9,SE,97.88,0.4,7.3
1/3/2010 11:00:00,4,,,,107,-11,85,1022,-9,SE,102.8,0.5,7.8
1/3/2010 12:00:00,4,,,,90,-11,85,1021,-9,SE,105.93,1.1,8.9
1/3/2010 13:00:00,4,,,,96,-11,85,1020,-9,SE,111.74,0.5,9.4
1/3/2010 14:00:00,4,,,,95,-11,85,1020,-9,SE,116.66,0.3,9.7
1/3/2010 15:00:00,4,,,,86,-11,85,1020,-9,SE,121.58,0.5,10.2
1/3/2010 16:00:00,4,,,,70,-11,85,1020,-9,SE,124.71,0.2,10.4
1/3/2010 17:00:00,4,,,,61,-11,85,1020,-9,SE,127.84,0.1,10.5
1/3/2010 18:00:00,4,,,,53,-11,85,1021,-9,cv,0.89,0.4,10.9
1/3/2010 19:00:00,4,,,,71,-11,85,1022,-9,cv,1.78,0.3,11.2
1/3/2010 20:00:00,4,,,,72,-10,92,1022,-9,NW,4.02,0,0
1/3/2010 21:00:00,4,,,,76,-11,92,1023,-10,NW,7.15,0,0
1/3/2010 22:00:00,4,,,,73,-11,85,1023,-9,NW,11.17,0,0
1/3/2010 23:00:00,4,,,,79,-12,92,1023,-11,NW,14.3,0,0
1/4/2010 00:00:00,4,,,,58,-14,85,1023,-12,NW,16.09,0,0
1/4/2010 01:00:00,4,,,,25,-16,56,1023,-9,NW,21.9,0,0
1/4/2010 02:00:00,4,,,,26,-17,56,1024,-10,NW,29.95,0,0
1/4/2010 03:00:00,4,,,,28,-18,56,1024,-11,NW,39.78,0,0
1/4/2010 04:00:00,4,,,,26,-19,51,1025,-11,NW,48.72,0,0
1/4/2010 05:00:00,4,,,,20,-20,51,1026,-12,NW,55.87,0,0
1/4/2010 06:00:00,4,,,,29,-21,47,1027,-12,NW,64.81,0,0
1/4/2010 07:00:00,4,,,,26,-21,51,1027,-13,NW,73.75,0,0
1/4/2010 08:00:00,4,,,,27,-22,46,1028,-13,NW,80.9,0,0
1/4/2010 09:00:00,4,,,,27,-22,46,1029,-13,NW,90.73,0,0
1/4/2010 10:00:00,4,,,,25,-22,43,1030,-12,NW,100.56,0,0
1/4/2010 11:00:00,4,,,,29,-23,39,1031,-12,NW,108.61,0,0
1/4/2010 12:00:00,4,,,,32,-21,43,1030,-11,NW,117.55,0,0
1/4/2010 13:00:00,4,,,,28,-20,43,1030,-10,NW,127.38,0,0
1/4/2010 14:00:00,4,,,,29,-21,40,1030,-10,NW,136.32,0,0
1/4/2010 15:00:00,4,,,,30,-21,37,1030,-9,NW,145.26,0,0
1/4/2010 16:00:00,4,,,,30,-21,37,1031,-9,NW,152.41,0,0
1/4/2010 17:00:00,4,,,,28,-20,47,1032,-11,NW,159.56,0,0
1/4/2010 18:00:00,4,,,,26,-23,36,1032,-11,NW,165.37,0,0
1/4/2010 19:00:00,4,,,,31,-21,47,1033,-12,NW,171.18,0,0
1/4/2010 20:00:00,4,,,,33,-24,36,1034,-12,NW,180.12,0,0
1/4/2010 21:00:00,4,,,,29,-24,39,1034,-13,NW,187.27,0,0
1/4/2010 22:00:00,4,,,,31,-24,39,1035,-13,NW,195.32,0,0
1/4/2010 23:00:00,4,,,,30,-26,38,1035,-15,NW,198.45,0,0
1/5/2010 00:00:00,4,,,,34,-26,45,1035,-17,NW,201.58,0,0
1/5/2010 01:00:00,4,,,,27,-26,49,1035,-18,NW,205.6,0,0
1/5/2010 02:00:00,4,,,,25,-26,53,1035,-19,NW,208.73,0,0
1/5/2010 03:00:00,4,,,,28,-27,45,1035,-18,NW,213.65,0,0
1/5/2010 04:00:00,4,,,,28,-27,49,1035,-19,NW,218.57,0,0
1/5/2010 05:00:00,4,,,,27,-27,38,1034,-16,NE,4.92,0,0
1/5/2010 06:00:00,4,,,,27,-26,41,1035,-16,NE,8.05,0,0
1/5/2010 07:00:00,4,,,,27,-27,38,1034,-16,NE,13.86,0,0
1/5/2010 08:00:00,4,,,,29,-26,41,1035,-16,NE,18.78,0,0
1/5/2010 09:00:00,4,,,,36,-26,38,1035,-15,NE,24.59,0,0
1/5/2010 10:00:00,4,,,,30,-25,38,1035,-14,NE,29.51,0,0
1/5/2010 11:00:00,4,,,,27,-25,35,1035,-13,NE,34.43,0,0
1/5/2010 12:00:00,4,,,,39,-25,33,1034,-12,NE,39.35,0,0
1/5/2010 13:00:00,4,,,,41,-24,33,1032,-11,NE,41.14,0,0
1/5/2010 14:00:00,4,,,,33,-22,39,1032,-11,cv,0.89,0,0
1/5/2010 15:00:00,4,,,,50,-23,36,1031,-11,NW,1.79,0,0
1/5/2010 16:00:00,4,,,,56,-24,33,1031,-11,NW,3.58,0,0
1/5/2010 17:00:00,4,,,,59,-23,36,1031,-11,NW,5.37,0,0
1/5/2010 18:00:00,4,,,,60,-23,36,1032,-11,NW,7.16,0,0
1/5/2010 19:00:00,4,,,,84,-22,46,1033,-13,NW,10.29,0,0
1/5/2010 20:00:00,4,,,,106,-22,43,1033,-12,NW,13.42,0,0
1/5/2010 21:00:00,4,,,,66,-24,59,1033,-18,NW,16.55,0,0
1/5/2010 22:00:00,4,,,,50,-22,46,1034,-13,NW,20.57,0,0
1/5/2010 23:00:00,4,,,,56,-22,59,1033,-16,NW,23.7,0,0
1/6/2010 00:00:00,4,,,,77,-25,49,1033,-17,NW,26.83,0,0
1/6/2010 01:00:00,4,,,,50,-25,38,1033,-14,NE,4.02,0,0
1/6/2010 02:00:00,4,,,,44,-26,35,1034,-14,NE,8.04,0,0
1/6/2010 03:00:00,4,,,,27,-26,35,1033,-14,NE,13.85,0,0
1/6/2010 04:00:00,4,,,,28,-26,35,1033,-14,NE,17.87,0,0
1/6/2010 05:00:00,4,,,,21,-26,35,1033,-14,NE,23.68,0,0
1/6/2010 06:00:00,4,,,,25,-26,35,1033,-14,NE,28.6,0,0
1/6/2010 07:00:00,4,,,,20,-26,38,1034,-15,NE,33.52,0,0
1/6/2010 08:00:00,4,,,,29,-26,35,1034,-14,NE,39.33,0,0
1/6/2010 09:00:00,4,,,,34,-25,35,1035,-13,NE,44.25,0,0
1/6/2010 10:00:00,4,,,,42,-25,33,1035,-12,NE,50.06,0,0
1/6/2010 11:00:00,4,,,,28,-24,33,1035,-11,NE,54.98,0,0
1/6/2010 12:00:00,4,,,,36,-24,30,1034,-10,NE,59,0,0
1/6/2010 13:00:00,4,,,,48,-22,36,1033,-10,NW,4.02,0,0
1/6/2010 14:00:00,4,,,,49,-22,34,1033,-9,NW,5.81,0,0
1/6/2010 15:00:00,4,,,,52,-22,31,1033,-8,cv,0.89,0,0
1/6/2010 16:00:00,4,,,,56,-22,31,1033,-8,NW,1.79,0,0
1/6/2010 17:00:00,4,,,,96,-21,37,1033,-9,NW,3.58,0,0
1/6/2010 18:00:00,4,,,,75,-22,34,1033,-9,NW,5.37,0,0
1/6/2010 19:00:00,4,,,,105,-22,50,1034,-14,cv,0.89,0,0
1/6/2010 20:00:00,4,,,,132,-22,43,1035,-12,NW,1.79,0,0
1/6/2010 21:00:00,4,,,,93,-21,55,1034,-14,NW,3.58,0,0
1/6/2010 22:00:00,4,,,,131,-22,59,1035,-16,NW,5.37,0,0
1/6/2010 23:00:00,4,,,,127,-21,65,1035,-16,NW,7.16,0,0
1/7/2010 00:00:00,4,,,,130,-21,65,1035,-16,NW,8.95,0,0
1/7/2010 01:00:00,4,,,,43,-21,65,1035,-16,cv,0.45,0,0
1/7/2010 02:00:00,4,,,,37,-22,70,1036,-18,cv,1.34,0,0
1/7/2010 03:00:00,4,,,,30,-23,50,1036,-15,NW,4.02,0,0
1/7/2010 04:00:00,4,,,,28,-24,50,1035,-16,NW,7.15,0,0
1/7/2010 05:00:00,4,,,,24,-25,42,1035,-15,NW,10.28,0,0
1/7/2010 06:00:00,4,,,,23,-24,46,1035,-15,NW,14.3,0,0
1/7/2010 07:00:00,4,,,,24,-25,35,1036,-13,NE,4.92,0,0
1/7/2010 08:00:00,4,,,,27,-24,42,1036,-14,NW,4.02,0,0
1/7/2010 09:00:00,4,,,,40,-23,39,1036,-12,NW,8.94,0,0
1/7/2010 10:00:00,4,,,,42,-22,39,1036,-11,NW,12.96,0,0
1/7/2010 11:00:00,4,,,,42,-20,43,1036,-10,NW,16.09,0,0
1/7/2010 12:00:00,4,,,,55,-21,37,1035,-9,NW,19.22,0,0
1/7/2010 13:00:00,4,,,,52,-21,34,1034,-8,NW,21.01,0,0
1/7/2010 14:00:00,4,,,,51,-20,34,1033,-7,NW,22.8,0,0
1/7/2010 15:00:00,4,,,,57,-20,34,1032,-7,NW,24.59,0,0
1/7/2010 16:00:00,4,,,,50,-18,44,1032,-8,NW,26.38,0,0
1/7/2010 17:00:00,4,,,,54,-19,44,1032,-9,NW,28.17,0,0
1/7/2010 18:00:00,4,,,,67,-19,51,1032,-11,NE,0.89,0,0
1/7/2010 19:00:00,4,,,,106,-18,56,1033,-11,NW,1.79,0,0
1/7/2010 20:00:00,4,,,,159,-19,71,1032,-15,NE,1.79,0,0
1/7/2010 21:00:00,4,,,,198,-19,65,1032,-14,cv,0.45,0,0
1/7/2010 22:00:00,4,,,,190,-21,55,1032,-14,cv,1.34,0,0
1/7/2010 23:00:00,4,,,,210,-21,65,1032,-16,cv,2.23,0,0
1/8/2010 00:00:00,4,,,,195,-21,71,1031,-17,NW,1.79,0,0
1/8/2010 01:00:00,4,,,,275,-19,77,1031,-16,NW,3.58,0,0
1/8/2010 02:00:00,4,,,,164,-20,71,1031,-16,NE,0.89,0,0
1/8/2010 03:00:00,4,,,,110,-19,71,1030,-15,SE,0.89,0,0
1/8/2010 04:00:00,4,,,,100,-18,77,1030,-15,cv,0.45,0,0
1/8/2010 05:00:00,4,,,,81,-18,77,1029,-15,cv,1.34,0,0
1/8/2010 06:00:00,4,,,,71,-18,77,1029,-15,NW,1.79,0,0
1/8/2010 07:00:00,4,,,,66,-16,78,1029,-13,NE,0.89,0,0
1/8/2010 08:00:00,4,,,,92,-16,72,1029,-12,SE,0.89,0,0
1/8/2010 09:00:00,4,,,,135,-16,72,1030,-12,SE,1.78,0,0
1/8/2010 10:00:00,4,,,,155,-17,56,1030,-10,NE,0.89,0,0
1/8/2010 11:00:00,4,,,,198,-16,61,1029,-10,cv,0.89,0,0
1/8/2010 12:00:00,4,,,,250,-16,56,1028,-9,SE,3.13,0,0
1/8/2010 13:00:00,4,,,,200,-15,57,1026,-8,SE,4.92,0,0
1/8/2010 14:00:00,4,,,,231,-16,52,1026,-8,cv,0.89,0,0
1/8/2010 15:00:00,4,,,,250,-16,52,1025,-8,cv,1.78,0,0
1/8/2010 16:00:00,4,,,,212,-16,52,1025,-8,cv,2.67,0,0
1/8/2010 17:00:00,4,,,,219,-17,48,1025,-8,SE,0.89,0,0
1/8/2010 18:00:00,4,,,,227,-17,52,1026,-9,cv,0.45,0,0
1/8/2010 19:00:00,4,,,,226,-17,61,1026,-11,cv,1.34,0,0
1/8/2010 20:00:00,4,,,,225,-17,66,1026,-12,cv,1.79,0,0
1/8/2010 21:00:00,4,,,,168,-18,71,1027,-14,NW,1.79,0,0
1/8/2010 22:00:00,4,,,,169,-16,56,1027,-9,NW,4.92,0,0
1/8/2010 23:00:00,4,,,,165,-16,66,1027,-11,NW,6.71,0,0
1/9/2010 00:00:00,4,,,,159,-17,71,1027,-13,cv,0.89,0,0
1/9/2010 01:00:00,4,,,,167,-17,71,1027,-13,NW,3.13,0,0
1/9/2010 02:00:00,4,,,,196,-17,77,1027,-14,NW,4.92,0,0
1/9/2010 03:00:00,4,,,,169,-17,84,1027,-15,NW,8.05,0,0
1/9/2010 04:00:00,4,,,,155,-17,71,1027,-13,NW,9.84,0,0
1/9/2010 05:00:00,4,,,,119,-19,77,1027,-16,NW,13.86,0,0
1/9/2010 06:00:00,4,,,,106,-18,77,1027,-15,NW,17.88,0,0
1/9/2010 07:00:00,4,,,,93,-19,71,1027,-15,NW,21.9,0,0
1/9/2010 08:00:00,4,,,,84,-18,71,1028,-14,NW,25.92,0,0
1/9/2010 09:00:00,4,,,,73,-18,48,1029,-9,NE,5.81,0,0
1/9/2010 10:00:00,4,,,,66,-17,44,1029,-7,NE,11.62,0,0
1/9/2010 11:00:00,4,,,,40,-17,41,1030,-6,NE,17.43,0,0
1/9/2010 12:00:00,4,,,,49,-16,45,1029,-6,NE,23.24,0,0
1/9/2010 13:00:00,4,,,,50,-16,41,1029,-5,NE,28.16,0,0
1/9/2010 14:00:00,4,,,,49,-15,42,1029,-4,NE,33.08,0,0
1/9/2010 15:00:00,4,,,,41,-14,45,1028,-4,NE,37.1,0,0
1/9/2010 16:00:00,4,,,,37,-15,42,1029,-4,NE,38.89,0,0
1/9/2010 17:00:00,4,,,,45,-15,42,1030,-4,NW,1.79,0,0
1/9/2010 18:00:00,4,,,,44,-15,52,1030,-7,NE,3.13,0,0
1/9/2010 19:00:00,4,,,,54,-15,48,1031,-6,NW,3.13,0,0
1/9/2010 20:00:00,4,,,,50,-15,52,1032,-7,NW,4.92,0,0
1/9/2010 21:00:00,4,,,,47,-15,48,1032,-6,NE,3.13,0,0
1/9/2010 22:00:00,4,,,,66,-15,57,1033,-8,cv,0.45,0,0
1/9/2010 23:00:00,4,,,,75,-15,57,1033,-8,cv,0.9,0,0
1/10/2010 00:00:00,4,,,,82,-15,72,1033,-11,NW,0.89,0,0
1/10/2010 01:00:00,4,,,,66,-17,71,1033,-13,NW,1.78,0,0
1/10/2010 02:00:00,4,,,,83,-17,66,1033,-12,NW,4.91,0,0
1/10/2010 03:00:00,4,,,,62,-17,71,1033,-13,NW,8.04,0,0
1/10/2010 04:00:00,4,,,,40,-19,65,1032,-14,NW,9.83,0,0
1/10/2010 05:00:00,4,,,,23,-18,66,1032,-13,NW,12.96,0,0
1/10/2010 06:00:00,4,,,,25,-19,60,1032,-13,NW,16.09,0,0
1/10/2010 07:00:00,4,,,,27,-19,65,1033,-14,NW,19.22,0,0
1/10/2010 08:00:00,4,,,,35,-19,65,1034,-14,NW,22.35,0,0
1/10/2010 09:00:00,4,,,,50,-17,66,1033,-12,NW,24.14,0,0
1/10/2010 10:00:00,4,,,,70,-16,48,1033,-7,NE,4.02,0,0
1/10/2010 11:00:00,4,,,,75,-15,52,1033,-7,NW,3.13,0,0
1/10/2010 12:00:00,4,,,,58,-15,52,1032,-7,NW,6.26,0,0
1/10/2010 13:00:00,4,,,,70,-14,53,1031,-6,NW,9.39,0,0
1/10/2010 14:00:00,4,,,,68,-14,53,1031,-6,NW,12.52,0,0
1/10/2010 15:00:00,4,,,,71,-13,53,1030,-5,NW,14.31,0,0
1/10/2010 16:00:00,4,,,,88,-14,49,1031,-5,NW,16.1,0,0
1/10/2010 17:00:00,4,,,,84,-14,53,1031,-6,NW,19.23,0,0
1/10/2010 18:00:00,4,,,,83,-13,62,1032,-7,NW,23.25,0,0
1/10/2010 19:00:00,4,,,,66,-15,48,1032,-6,NW,27.27,0,0
1/10/2010 20:00:00,4,,,,27,-15,48,1033,-6,NW,30.4,0,0
1/10/2010 21:00:00,4,,,,24,-15,42,1034,-4,NW,35.32,0,0
1/10/2010 22:00:00,4,,,,22,-16,38,1034,-4,NW,44.26,0,0
1/10/2010 23:00:00,4,,,,23,-17,38,1035,-5,NW,52.31,0,0
1/11/2010 00:00:00,4,,,,27,-17,41,1035,-6,NW,60.36,0,0
1/11/2010 01:00:00,4,,,,23,-17,48,1035,-8,cv,0.89,0,0
1/11/2010 02:00:00,4,,,,17,-19,51,1036,-11,NW,4.02,0,0
1/11/2010 03:00:00,4,,,,17,-20,47,1036,-11,NW,8.94,0,0
1/11/2010 04:00:00,4,,,,16,-21,43,1035,-11,NE,4.02,0,0
1/11/2010 05:00:00,4,,,,16,-22,43,1035,-12,NW,3.13,0,0
1/11/2010 06:00:00,4,,,,20,-22,43,1035,-12,NE,4.92,0,0
1/11/2010 07:00:00,4,,,,20,-22,46,1036,-13,NW,5.81,0,0
1/11/2010 08:00:00,4,,,,18,-22,34,1036,-9,NW,13.86,0,0
1/11/2010 09:00:00,4,,,,25,-22,36,1036,-10,NW,21.91,0,0
1/11/2010 10:00:00,4,,,,26,-22,34,1036,-9,NW,29.06,0,0
1/11/2010 11:00:00,4,,,,27,-21,37,1036,-9,NW,33.08,0,0
1/11/2010 12:00:00,4,,,,28,-20,32,1035,-6,NW,42.02,0,0
1/11/2010 13:00:00,4,,,,15,-19,32,1034,-5,NW,50.96,0,0
1/11/2010 14:00:00,4,,,,24,-19,32,1033,-5,NW,59.01,0,0
1/11/2010 15:00:00,4,,,,13,-20,29,1033,-5,NW,66.16,0,0
1/11/2010 16:00:00,4,,,,13,-20,29,1032,-5,NW,71.97,0,0
1/11/2010 17:00:00,4,,,,13,-20,29,1033,-5,NW,76.89,0,0
1/11/2010 18:00:00,4,,,,17,-20,34,1033,-7,NW,81.81,0,0
1/11/2010 19:00:00,4,,,,20,-22,29,1033,-7,NW,85.83,0,0
1/11/2010 20:00:00,4,,,,27,-22,31,1033,-8,NW,89.85,0,0
1/11/2010 21:00:00,4,,,,20,-23,33,1033,-10,NW,91.64,0,0
1/11/2010 22:00:00,4,,,,15,-23,42,1033,-13,NW,93.43,0,0
1/11/2010 23:00:00,4,,,,21,-22,43,1032,-12,cv,0.89,0,0
1/12/2010 00:00:00,4,,,,21,-22,55,1031,-15,cv,1.78,0,0
1/12/2010 01:00:00,4,,,,37,-22,50,1031,-14,NE,1.79,0,0
1/12/2010 02:00:00,4,,,,26,-22,50,1031,-14,NW,0.89,0,0
1/12/2010 03:00:00,4,,,,15,-24,59,1030,-18,NE,1.79,0,0
1/12/2010 04:00:00,4,,,,9,-24,39,1030,-13,NE,3.58,0,0
1/12/2010 05:00:00,4,,,,11,-25,38,1030,-14,NW,3.13,0,0
1/12/2010 06:00:00,4,,,,11,-24,42,1030,-14,NW,7.15,0,0
1/12/2010 07:00:00,4,,,,16,-25,33,1030,-12,NW,12.96,0,0
1/12/2010 08:00:00,4,,,,13,-26,35,1030,-14,NW,16.98,0,0
1/12/2010 09:00:00,4,,,,15,-25,33,1031,-12,NW,21,0,0
1/12/2010 10:00:00,4,,,,21,-25,30,1031,-11,NW,26.81,0,0
1/12/2010 11:00:00,4,,,,24,-24,33,1030,-11,NW,35.75,0,0
1/12/2010 12:00:00,4,,,,22,-23,36,1029,-11,NW,47.82,0,0
1/12/2010 13:00:00,4,,,,22,-22,39,1029,-11,NW,63.02,0,0
1/12/2010 14:00:00,4,,,,22,-23,36,1029,-11,NW,75.98,0,0
1/12/2010 15:00:00,4,,,,19,-22,39,1029,-11,NW,88.05,0,0
1/12/2010 16:00:00,4,,,,23,-23,36,1030,-11,NW,101.01,0,0
1/12/2010 17:00:00,4,,,,25,-24,33,1030,-11,NW,109.06,0,0
1/12/2010 18:00:00,4,,,,25,-24,33,1032,-11,NW,118,0,0
1/12/2010 19:00:00,4,,,,31,-23,36,1032,-11,NW,126.05,0,0
1/12/2010 20:00:00,4,,,,25,-23,39,1032,-12,NW,134.1,0,0
1/12/2010 21:00:00,4,,,,22,-24,36,1033,-12,NW,142.15,0,0
1/12/2010 22:00:00,4,,,,22,-23,39,1033,-12,NW,150.2,0,0
1/12/2010 23:00:00,4,,,,15,-23,39,1034,-12,NW,160.03,0,0
1/13/2010 00:00:00,4,,,,16,-24,36,1034,-12,NW,169.86,0,0
1/13/2010 01:00:00,4,,,,11,-24,36,1033,-12,NW,178.8,0,0
1/13/2010 02:00:00,4,,,,11,-25,33,1033,-12,NW,189.98,0,0
1/13/2010 03:00:00,4,,,,12,-24,39,1033,-13,NW,198.03,0,0
1/13/2010 04:00:00,4,,,,11,-25,33,1032,-12,NW,205.18,0,0
1/13/2010 05:00:00,4,,,,12,-25,33,1033,-12,NW,215.01,0,0
1/13/2010 06:00:00,4,,,,27,-25,33,1032,-12,NW,226.19,0,0
1/13/2010 07:00:00,4,,,,28,-25,33,1032,-12,NW,235.13,0,0
1/13/2010 08:00:00,4,,,,34,-25,33,1032,-12,NW,243.18,0,0
1/13/2010 09:00:00,4,,,,33,-23,36,1033,-11,NW,252.12,0,0
1/13/2010 10:00:00,4,,,,36,-23,33,1033,-10,NW,257.93,0,0
1/13/2010 11:00:00,4,,,,26,-22,34,1033,-9,NW,263.74,0,0
1/13/2010 12:00:00,4,,,,49,-21,34,1031,-8,NW,270.89,0,0
1/13/2010 13:00:00,4,,,,52,-21,29,1030,-6,NW,278.94,0,0
1/13/2010 14:00:00,4,,,,47,-20,29,1029,-5,NW,286.99,0,0
1/13/2010 15:00:00,4,,,,47,-22,24,1028,-5,NW,294.14,0,0
1/13/2010 16:00:00,4,,,,39,-21,27,1028,-5,NW,299.06,0,0
1/13/2010 17:00:00,4,,,,59,-19,37,1028,-7,SE,1.79,0,0
1/13/2010 18:00:00,4,,,,76,-19,40,1028,-8,cv,0.45,0,0
1/13/2010 19:00:00,4,,,,96,-20,40,1028,-9,cv,1.34,0,0
1/13/2010 20:00:00,4,,,,95,-19,47,1027,-10,SE,1.79,0,0
1/13/2010 21:00:00,4,,,,68,-19,60,1027,-13,cv,0.89,0,0
1/13/2010 22:00:00,4,,,,65,-18,60,1027,-12,cv,1.78,0,0
1/13/2010 23:00:00,4,,,,75,-18,66,1027,-13,NE,0.89,0,0
1/14/2010 00:00:00,4,,,,257,-18,71,1026,-14,NE,1.78,0,0
1/14/2010 01:00:00,4,,,,174,-20,65,1025,-15,NE,2.67,0,0
1/14/2010 02:00:00,4,,,,164,-20,65,1025,-15,NW,0.89,0,0
1/14/2010 03:00:00,4,,,,161,-20,71,1025,-16,NW,1.78,0,0
1/14/2010 04:00:00,4,,,,137,-20,71,1024,-16,NW,3.57,0,0
1/14/2010 05:00:00,4,,,,92,-21,71,1024,-17,NW,6.7,0,0
1/14/2010 06:00:00,4,,,,64,-19,65,1023,-14,NW,10.72,0,0
1/14/2010 07:00:00,4,,,,87,-21,71,1023,-17,NW,13.85,0,0
1/14/2010 08:00:00,4,,,,87,-19,71,1024,-15,NW,15.64,0,0
1/14/2010 09:00:00,4,,,,84,-19,65,1024,-14,NW,18.77,0,0
1/14/2010 10:00:00,4,,,,95,-18,51,1024,-10,NW,22.79,0,0
1/14/2010 11:00:00,4,,,,79,-17,52,1023,-9,NW,24.58,0,0
1/14/2010 12:00:00,4,,,,75,-16,45,1023,-6,NW,26.37,0,0
1/14/2010 13:00:00,4,,,,79,-17,38,1022,-5,NW,28.16,0,0
1/14/2010 14:00:00,4,,,,86,-16,41,1022,-5,NW,29.95,0,0
1/14/2010 15:00:00,4,,,,72,-15,42,1022,-4,NW,33.08,0,0
