Date,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1/2/2010 06:00:00,4,,,,4,81.2,1020,7,SW,3,0,0
1/2/2010 07:00:00,4,,,,4,81.2,1021,7,SE,1,0,0
1/2/2010 08:00:00,4,,,,4,81.2,1021,7,SW,1,0,0
1/2/2010 09:00:00,4,,,,4,75.84,1022,8,cv,1,0,0
1/2/2010 10:00:00,4,,,,4,75.84,1022,8,cv,2,0,0
1/2/2010 11:00:00,4,,,,5,81.34,1023,8,cv,3,0,0
1/2/2010 12:00:00,4,,,,4,70.88,1022,9,cv,4,0,0
1/2/2010 13:00:00,4,,,,4,70.88,1021,9,cv,5,0,0
1/2/2010 14:00:00,4,,,,4,70.88,1020,9,cv,5,0,0
1/2/2010 15:00:00,4,,,,4,70.88,1019,9,cv,6,0,0
1/2/2010 16:00:00,4,,,,4,70.88,1020,9,cv,7,0,0
1/2/2010 17:00:00,4,,,,5,81.34,1020,8,NW,3,0,0
1/2/2010 18:00:00,4,,,,4,75.84,1022,8,NW,7,0,0
1/2/2010 19:00:00,4,,,,5,81.34,1023,8,cv,1,0,0
1/2/2010 20:00:00,4,,,,5,87.09,1024,7,cv,2,0,0
1/2/2010 21:00:00,4,,,,4,86.99,1024,6,cv,3,0,0
1/2/2010 22:00:00,4,,,,3,86.89,1024,5,cv,4,0,0
1/2/2010 23:00:00,4,,,,2,93.13,1024,3,SW,1,0,0
1/3/2010 00:00:00,4,,,,3,86.89,1023,5,cv,0,0,0
1/3/2010 01:00:00,4,,,,2,86.79,1022,4,cv,0,0,0
1/3/2010 02:00:00,4,,,,3,86.89,1021,5,cv,0,0,0
1/3/2010 03:00:00,4,,,,3,93.19,1021,4,cv,0,0,0
1/3/2010 04:00:00,4,,,,4,93.24,1020,5,cv,0,0,0
1/3/2010 05:00:00,4,,,,4,86.99,1019,6,cv,0,0,0
1/3/2010 06:00:00,4,,,,4,86.99,1018,6,cv,0,0,0
1/3/2010 07:00:00,4,,,,4,86.99,1019,6,cv,0,0,0
1/3/2010 08:00:00,4,,,,5,93.29,1019,6,NE,2,0,0
1/3/2010 09:00:00,4,,,,5,93.29,1019,6,cv,1,0,0
1/3/2010 10:00:00,4,,,,5,87.09,1019,7,cv,1,0,0
1/3/2010 11:00:00,4,,,,5,87.09,1019,7,cv,1,0,0
1/3/2010 12:00:00,4,,,,4,75.84,1016.9,8,NW,2,0,0
1/3/2010 13:00:00,4,,,,4,75.84,1015.9,8,NW,4,0,0
1/3/2010 14:00:00,4,,,,4,75.84,1013.9,8,NW,7,0,0
1/3/2010 15:00:00,4,,,,4,81.2,1013.9,7,NW,10,0,0
1/3/2010 16:00:00,4,,,,4,75.84,1013.9,8,NW,13,0,0
1/3/2010 17:00:00,4,,,,4,75.84,1013.9,8,NW,15,0,0
1/3/2010 18:00:00,4,,,,3,70.67,1014.9,8,NE,3,0,0
1/3/2010 19:00:00,4,,,,4,81.2,1015.9,7,NW,3,0,0
1/3/2010 20:00:00,4,,,,4,81.2,1016.9,7,NW,6,0,0
1/3/2010 21:00:00,4,,,,4,81.2,1018,7,NW,8,0,0
1/3/2010 22:00:00,4,,,,4,81.2,1018,7,NW,10,0,0
1/3/2010 23:00:00,4,,,,4,81.2,1018,7,cv,0,0,0
1/4/2010 00:00:00,4,,,,4,81.2,1018,7,cv,1,0,0
1/4/2010 01:00:00,4,,,,4,86.99,1016.9,6,SW,2,0,0
1/4/2010 02:00:00,4,,,,3,86.89,1015.9,5,cv,0,0,0
1/4/2010 03:00:00,4,,,,2,93.13,1015.9,3,cv,1,0,0
1/4/2010 04:00:00,4,,,,1,86.68,1015.9,3,SW,1,0,0
1/4/2010 05:00:00,4,,,,3,93.19,1015.9,4,cv,0,0,0
1/4/2010 06:00:00,4,,,,3,93.19,1015.9,4,cv,0,0,0
1/4/2010 07:00:00,4,,,,3,93.19,1015.9,4,cv,0,0,0
1/4/2010 08:00:00,4,,,,3,93.19,1016.9,4,cv,0,0.1,0.1
1/4/2010 09:00:00,4,,,,3,86.89,1016.9,5,cv,0,0,0
1/4/2010 10:00:00,4,,,,4,93.24,1018,5,SW,0.51,0,0
1/4/2010 11:00:00,4,,,,4,86.99,1018,6,SW,2.51,0,0
1/4/2010 12:00:00,4,,,,4,86.99,1016.9,6,SW,4.51,0,0
1/4/2010 13:00:00,4,,,,4,81.2,1015.9,7,cv,1,0,0
1/4/2010 14:00:00,4,,,,3,66.05,1013.9,9,cv,2,0,0
1/4/2010 15:00:00,4,,,,4,66.27,1012.9,10,cv,3,0,0
1/4/2010 16:00:00,4,,,,4,66.27,1012.9,10,cv,4,0,0
1/4/2010 17:00:00,4,,,,4,66.27,1012.9,10,cv,5,0,0
1/4/2010 18:00:00,4,,,,4,70.88,1013.9,9,cv,6,0,0
1/4/2010 19:00:00,4,,,,5,76.01,1013.9,9,cv,7,0,0
1/4/2010 20:00:00,4,,,,4,70.88,1014.9,9,NW,2,0,0
1/4/2010 21:00:00,4,,,,4,70.88,1015.9,9,NW,4,0,0
1/4/2010 22:00:00,4,,,,4,75.84,1016.9,8,NW,5,0,0
1/4/2010 23:00:00,4,,,,3,70.67,1018,8,NW,7,0,0
1/5/2010 00:00:00,4,,,,2,70.47,1018,7,NW,9,0,0
1/5/2010 01:00:00,4,,,,2,70.47,1018,7,NW,11,0,0
1/5/2010 02:00:00,4,,,,2,70.47,1016.9,7,NE,3,0,0
1/5/2010 03:00:00,4,,,,2,75.49,1018,6,cv,0,0,0
1/5/2010 04:00:00,4,,,,3,81.06,1016.9,6,cv,0,0,0
1/5/2010 05:00:00,4,,,,3,81.06,1016.9,6,cv,0,0,0
1/5/2010 06:00:00,4,,,,3,81.06,1016.9,6,cv,0,0,0
1/5/2010 07:00:00,4,,,,2,75.49,1018,6,cv,0,0,0
1/5/2010 08:00:00,4,,,,3,81.06,1019,6,NW,1,0,0
1/5/2010 09:00:00,4,,,,3,75.67,1019,7,cv,0,0,0
1/5/2010 10:00:00,4,,,,3,75.67,1020,7,SW,1,0,0
1/5/2010 11:00:00,4,,,,3,70.67,1020,8,cv,1,0,0
1/5/2010 12:00:00,4,,,,3,70.67,1020,8,SW,1,0,0
1/5/2010 13:00:00,4,,,,2,61.51,1019,9,cv,0,0,0
1/5/2010 14:00:00,4,,,,3,61.76,1018,10,cv,0,0,0
1/5/2010 15:00:00,4,,,,2,53.81,1016.9,11,NW,2,0,0
1/5/2010 16:00:00,4,,,,2,53.81,1018,11,NE,3,0,0
1/5/2010 17:00:00,4,,,,2,53.81,1018,11,cv,1,0,0
1/5/2010 18:00:00,4,,,,3,61.76,1019,10,NE,2,0,0
1/5/2010 19:00:00,4,,,,3,61.76,1020,10,NE,4,0,0
1/5/2010 20:00:00,4,,,,4,75.84,1021,8,cv,1,0,0
1/5/2010 21:00:00,4,,,,5,81.34,1021,8,SE,2,0,0
1/5/2010 22:00:00,4,,,,5,81.34,1021,8,cv,1,0,0
1/5/2010 23:00:00,4,,,,5,87.09,1022,7,cv,2,0,0
1/6/2010 00:00:00,4,,,,4,86.99,1022,6,cv,2,0,0
1/6/2010 01:00:00,4,,,,5,87.09,1022,7,cv,3,0,0
1/6/2010 02:00:00,4,,,,5,87.09,1022,7,SW,1,0,0
1/6/2010 03:00:00,4,,,,5,87.09,1022,7,cv,0,0,0
1/6/2010 04:00:00,4,,,,5,87.09,1022,7,cv,0,0,0
1/6/2010 05:00:00,4,,,,5,87.09,1021,7,cv,0,0,0
1/6/2010 06:00:00,4,,,,5,87.09,1021,7,cv,0,0,0
1/6/2010 07:00:00,4,,,,5,87.09,1022,7,cv,0,0,0
1/6/2010 08:00:00,4,,,,5,87.09,1022,7,cv,1,0,0
1/6/2010 09:00:00,4,,,,5,87.09,1023,7,SW,1,0,0
1/6/2010 10:00:00,4,,,,5,87.09,1024,7,SW,2,0,0
1/6/2010 11:00:00,4,,,,4,75.84,1024,8,cv,1,0,0
1/6/2010 12:00:00,4,,,,5,81.34,1023,8,cv,2,0,0
1/6/2010 13:00:00,4,,,,4,75.84,1022,8,cv,3,0,0
1/6/2010 14:00:00,4,,,,4,75.84,1021,8,cv,4,0,0
1/6/2010 15:00:00,4,,,,4,75.84,1020,8,NE,2,0,0
1/6/2010 16:00:00,4,,,,4,75.84,1020,8,cv,1,0,0
1/6/2010 17:00:00,4,,,,5,81.34,1021,8,NW,2,0,0
1/6/2010 18:00:00,4,,,,5,81.34,1021,8,cv,1,0,0
1/6/2010 19:00:00,4,,,,5,87.09,1022,7,NW,2,0,0
1/6/2010 20:00:00,4,,,,5,87.09,1022,7,NW,4,0,0
1/6/2010 21:00:00,4,,,,5,87.09,1023,7,NW,6,0,0
1/6/2010 22:00:00,4,,,,5,87.09,1024,7,NW,8,0.1,0.1
1/6/2010 23:00:00,4,,,,5,87.09,1024,7,NW,10,0,0
1/7/2010 00:00:00,4,,,,5,87.09,1024,7,cv,1,0,0
1/7/2010 01:00:00,4,,,,5,87.09,1024,7,cv,2,0,0
1/7/2010 02:00:00,4,,,,5,87.09,1024,7,NE,2,0,0
1/7/2010 03:00:00,4,,,,5,87.09,1024,7,cv,1,0,0
1/7/2010 04:00:00,4,,,,5,87.09,1024,7,NW,1,0,0
1/7/2010 05:00:00,4,,,,5,87.09,1024,7,NW,2,0,0
1/7/2010 06:00:00,4,,,,5,87.09,1024,7,cv,1,0,0
1/7/2010 07:00:00,4,,,,5,87.09,1024,7,cv,2,0,0
1/7/2010 08:00:00,4,,,,5,87.09,1025.1,7,cv,2,0,0
1/7/2010 09:00:00,4,,,,5,87.09,1026.1,7,cv,2,0,0
1/7/2010 10:00:00,4,,,,6,93.35,1027.1,7,cv,2,0,0
1/7/2010 11:00:00,4,,,,6,87.19,1027.1,8,cv,3,,
1/7/2010 12:00:00,4,,,,6,87.19,1026.1,8,cv,4,0,0
1/7/2010 13:00:00,4,,,,5,76.01,1025.1,9,cv,5,0,0
1/7/2010 14:00:00,4,,,,6,76.18,1024,10,SW,2,0,0
1/7/2010 15:00:00,4,,,,5,71.07,1023,10,SW,4,0,0
1/7/2010 16:00:00,4,,,,5,71.07,1023,10,SW,6,0,0
1/7/2010 17:00:00,4,,,,5,71.07,1024,10,SW,8,0,0
1/7/2010 18:00:00,4,,,,5,76.01,1024,9,SW,10,0,0
1/7/2010 19:00:00,4,,,,5,87.09,1025.1,7,SW,12,0,0
1/7/2010 20:00:00,4,,,,5,87.09,1025.1,7,cv,0,0,0
1/7/2010 21:00:00,4,,,,5,87.09,1025.1,7,cv,1,0,0
1/7/2010 22:00:00,4,,,,4,86.99,1025.1,6,SW,1,0,0
1/7/2010 23:00:00,4,,,,4,93.24,1025.1,5,cv,0,0,0
1/8/2010 00:00:00,4,,,,3,86.89,1025.1,5,cv,0,0,0
1/8/2010 01:00:00,4,,,,3,93.19,1024,4,cv,0,0,0
1/8/2010 02:00:00,4,,,,3,93.19,1023,4,cv,1,0,0
1/8/2010 03:00:00,4,,,,4,93.24,1023,5,NW,1,0,0
1/8/2010 04:00:00,4,,,,4,93.24,1022,5,cv,0,0,0
1/8/2010 05:00:00,4,,,,4,86.99,1021,6,cv,0,0,0
1/8/2010 06:00:00,4,,,,4,86.99,1021,6,cv,1,0,0
1/8/2010 07:00:00,4,,,,4,93.24,1021,5,cv,1,0,0
1/8/2010 08:00:00,4,,,,4,93.24,1021,5,cv,2,0,0
1/8/2010 09:00:00,4,,,,5,93.29,1021,6,cv,2,0,0
1/8/2010 10:00:00,4,,,,5,93.29,1021,6,cv,3,0,0
1/8/2010 11:00:00,4,,,,5,87.09,1021,7,NE,2,0,0
1/8/2010 12:00:00,4,,,,5,87.09,1020,7,NE,4,0,0
1/8/2010 13:00:00,4,,,,6,93.35,1018,7,NE,7,0,0
1/8/2010 14:00:00,4,,,,5,87.09,1015.9,7,NW,2,0,0
1/8/2010 15:00:00,4,,,,5,81.34,1014.9,8,NW,4,0,0
1/8/2010 16:00:00,4,,,,5,81.34,1013.9,8,NW,6,0,0
1/8/2010 17:00:00,4,,,,4,75.84,1013.9,8,NE,3,0,0
1/8/2010 18:00:00,4,,,,4,75.84,1013.9,8,cv,1,0,0
1/8/2010 19:00:00,4,,,,4,75.84,1014.9,8,NW,1,0,0
1/8/2010 20:00:00,4,,,,5,81.34,1014.9,8,NW,3,0,0
1/8/2010 21:00:00,4,,,,4,75.84,1015.9,8,cv,1,0,0
1/8/2010 22:00:00,4,,,,5,87.09,1015.9,7,cv,2,0,0
1/8/2010 23:00:00,4,,,,5,87.09,1016.9,7,cv,2,0,0
1/9/2010 00:00:00,4,,,,5,87.09,1016.9,7,cv,2,0,0
1/9/2010 01:00:00,4,,,,5,87.09,1015.9,7,cv,2,0,0
1/9/2010 02:00:00,4,,,,5,87.09,1015.9,7,cv,2,0,0
1/9/2010 03:00:00,4,,,,5,87.09,1015.9,7,cv,2,0,0
1/9/2010 04:00:00,4,,,,5,87.09,1014.9,7,cv,2,0,0
1/9/2010 05:00:00,4,,,,5,87.09,1014.9,7,cv,3,0,0
1/9/2010 06:00:00,4,,,,5,87.09,1013.9,7,SW,2,0,0
1/9/2010 07:00:00,4,,,,5,87.09,1014.9,7,SW,3,0,0
1/9/2010 08:00:00,4,,,,5,93.29,1014.9,6,SW,5,0,0
1/9/2010 09:00:00,4,,,,5,87.09,1015.9,7,cv,2,0,0
1/9/2010 10:00:00,4,,,,5,81.34,1015.9,8,cv,3,0,0
1/9/2010 11:00:00,4,,,,4,70.88,1016.9,9,SW,2,0,0
1/9/2010 12:00:00,4,,,,4,66.27,1015.9,10,SW,4,0,0
1/9/2010 13:00:00,4,,,,4,58.03,1013.9,12,SE,3,0,0
1/9/2010 14:00:00,4,,,,3,57.77,1012.9,11,SE,5,0,0
1/9/2010 15:00:00,4,,,,2,47.17,1011.9,13,cv,1,0,0
1/9/2010 16:00:00,4,,,,2,50.36,1011.9,12,NE,2,0,0
1/9/2010 17:00:00,4,,,,2,53.81,1012.9,11,SE,3,0,0
1/9/2010 18:00:00,4,,,,1,50.08,1014.9,11,NE,2,0,0
1/9/2010 19:00:00,4,,,,2,53.81,1015.9,11,NE,4,0,0
1/9/2010 20:00:00,4,,,,2,53.81,1016.9,11,cv,1,0,0
1/9/2010 21:00:00,4,,,,2,57.51,1018,10,cv,2,0,0
1/9/2010 22:00:00,4,,,,4,70.88,1019,9,SW,1,0,0
1/9/2010 23:00:00,4,,,,4,70.88,1020,9,cv,0,0,0
1/10/2010 00:00:00,4,,,,5,81.34,1020,8,SW,1,0,0
1/10/2010 01:00:00,4,,,,5,81.34,1020,8,SW,2,0,0
1/10/2010 02:00:00,4,,,,5,81.34,1020,8,SW,3,0,0
1/10/2010 03:00:00,4,,,,5,81.34,1020,8,cv,0,0,0
1/10/2010 04:00:00,4,,,,5,81.34,1020,8,NE,1,0,0
1/10/2010 05:00:00,4,,,,6,87.19,1019,8,SE,2,0,0
1/10/2010 06:00:00,4,,,,6,87.19,1019,8,SE,3,0,0
1/10/2010 07:00:00,4,,,,5,87.09,1020,7,cv,0,0,0
1/10/2010 08:00:00,4,,,,6,87.19,1020,8,NE,2,0,0
1/10/2010 09:00:00,4,,,,6,87.19,1021,8,cv,1,0,0
1/10/2010 10:00:00,4,,,,6,87.19,1022,8,cv,1,0,0
1/10/2010 11:00:00,4,,,,6,81.48,1023,9,cv,1,0,0
1/10/2010 12:00:00,4,,,,6,71.27,1022,11,cv,2,0,0
1/10/2010 13:00:00,4,,,,5,66.49,1021,11,NE,2,0,0
1/10/2010 14:00:00,4,,,,3,54.08,1019,12,NE,5,0,0
1/10/2010 15:00:00,4,,,,3,57.77,1018,11,NE,8,0,0
1/10/2010 16:00:00,4,,,,3,57.77,1018,11,NE,11,0,0
1/10/2010 17:00:00,4,,,,2,57.51,1019,10,NE,14,0,0
1/10/2010 18:00:00,4,,,,3,61.76,1020,10,NE,19,0,0
1/10/2010 19:00:00,4,,,,3,66.05,1022,9,NE,22,0,0
1/10/2010 20:00:00,4,,,,2,57.51,1023,10,NE,26,0,0
1/10/2010 21:00:00,4,,,,3,66.05,1024,9,NW,3,0,0
1/10/2010 22:00:00,4,,,,4,75.84,1025.1,8,NW,5,0,0
1/10/2010 23:00:00,4,,,,5,81.34,1026.1,8,NW,7,0.1,0.1
1/11/2010 00:00:00,4,,,,4,75.84,1026.1,8,cv,0,0,0
1/11/2010 01:00:00,4,,,,4,75.84,1026.1,8,cv,1,0,0
1/11/2010 02:00:00,4,,,,1,57.25,1026.1,9,NW,2,0,0
1/11/2010 03:00:00,4,,,,-2,43.01,1026.1,10,NW,7,0,0
1/11/2010 04:00:00,4,,,,-3,39.93,1026.1,10,NE,4,0,0
1/11/2010 05:00:00,4,,,,-3,42.71,1026.1,9,NE,8,0,0
1/11/2010 06:00:00,4,,,,-2,46,1026.1,9,NE,12,0,0
1/11/2010 07:00:00,4,,,,-1,49.51,1026.1,9,NE,16,0,0
1/11/2010 08:00:00,4,,,,-3,42.71,1027.1,9,NE,19,0,0
1/11/2010 09:00:00,4,,,,-1,52.98,1027.1,8,cv,1,0,0
1/11/2010 10:00:00,4,,,,1,57.25,1028.1,9,NW,2,0,0
1/11/2010 11:00:00,4,,,,-4,37.05,1029.1,10,NW,5,0,0
1/11/2010 12:00:00,4,,,,-6,31.84,1028.1,10,NE,4,0,0
1/11/2010 13:00:00,4,,,,-6,29.79,1027.1,11,NE,8,0,0
1/11/2010 14:00:00,4,,,,-7,25.82,1025.1,12,NE,12,0,0
1/11/2010 15:00:00,4,,,,-7,27.58,1025.1,11,NE,15,0,0
1/11/2010 16:00:00,4,,,,-6,29.79,1024,11,NE,18,0,0
1/11/2010 17:00:00,4,,,,-6,29.79,1025.1,11,NE,22,0,0
1/11/2010 18:00:00,4,,,,-7,27.58,1027.1,11,NE,26,0,0
1/11/2010 19:00:00,4,,,,-6,31.84,1028.1,10,NE,29,0,0
1/11/2010 20:00:00,4,,,,-6,31.84,1029.1,10,NW,3,0,0
1/11/2010 21:00:00,4,,,,-5,34.36,1030.1,10,cv,1,0,0
1/11/2010 22:00:00,4,,,,-4,42.4,1031.2,8,cv,1,0,0
1/11/2010 23:00:00,4,,,,-2,49.22,1031.8,8,cv,1,0,0
1/12/2010 00:00:00,4,,,,-1,52.98,1031.8,8,NW,1,0,0
1/12/2010 01:00:00,4,,,,-1,56.72,1031.8,7,NW,2,0,0
1/12/2010 02:00:00,4,,,,-2,56.45,1031.8,6,NW,3,0,0
1/12/2010 03:00:00,4,,,,-1,80.49,1031.8,2,cv,1,0,0
1/12/2010 04:00:00,4,,,,-1,74.96,1031.2,3,cv,1,0,0
1/12/2010 05:00:00,4,,,,-2,74.78,1030.1,2,cv,1,0,0
1/12/2010 06:00:00,4,,,,-2,80.34,1030.1,1,SW,1,0,0
1/12/2010 07:00:00,4,,,,-1,86.47,1030.1,1,cv,0,0,0
1/12/2010 08:00:00,4,,,,-1,86.47,1030.1,1,SW,1,0,0
1/12/2010 09:00:00,4,,,,-1,80.49,1030.1,2,SW,3,0,0
1/12/2010 10:00:00,4,,,,1,75.32,1030.1,5,cv,1,0,0
1/12/2010 11:00:00,4,,,,-2,52.7,1030.1,7,cv,2,0,0
1/12/2010 12:00:00,4,,,,-2,43.01,1029.1,10,SE,2,0,0
1/12/2010 13:00:00,4,,,,-5,32.14,1027.1,11,SE,5,0,0
1/12/2010 14:00:00,4,,,,-4,34.66,1025.1,11,cv,2,0,0
1/12/2010 15:00:00,4,,,,-5,30.09,1023,12,SE,2,0,0
1/12/2010 16:00:00,4,,,,-6,27.88,1023,12,SE,4,0,0
1/12/2010 17:00:00,4,,,,-5,30.09,1023,12,cv,1,0,0
1/12/2010 18:00:00,4,,,,-4,37.05,1023,10,cv,2,0,0
1/12/2010 19:00:00,4,,,,-2,52.7,1024,7,cv,2,0,0
1/12/2010 20:00:00,4,,,,-1,49.51,1025.1,9,NE,2,0,0
1/12/2010 21:00:00,4,,,,-2,46,1026.1,9,NE,4,0,0
1/12/2010 22:00:00,4,,,,-2,46,1027.1,9,NE,6,0,0
1/12/2010 23:00:00,4,,,,-2,46,1028.1,9,cv,1,0,0
1/13/2010 00:00:00,4,,,,-1,49.51,1029.1,9,cv,1,0,0
1/13/2010 01:00:00,4,,,,-1,52.98,1029.1,8,cv,2,0,0
1/13/2010 02:00:00,4,,,,1,65.59,1029.1,7,cv,2,0,0
1/13/2010 03:00:00,4,,,,0,61.01,1028.1,7,cv,3,0,0
1/13/2010 04:00:00,4,,,,1,70.27,1028.1,6,SW,2,0,0
1/13/2010 05:00:00,4,,,,1,65.59,1028.1,7,SW,3,0,0
1/13/2010 06:00:00,4,,,,2,80.92,1028.1,5,SW,4,0,0
1/13/2010 07:00:00,4,,,,2,75.49,1028.1,6,SW,5,0,0
1/13/2010 08:00:00,4,,,,3,81.06,1028.1,6,cv,1,0,0
1/13/2010 09:00:00,4,,,,3,81.06,1029.1,6,cv,2,0,0
1/13/2010 10:00:00,4,,,,3,75.67,1029.1,7,cv,3,0,0
1/13/2010 11:00:00,4,,,,1,57.25,1029.1,9,cv,4,0,0
1/13/2010 12:00:00,4,,,,1,50.08,1028.1,11,cv,5,0,0
1/13/2010 13:00:00,4,,,,1,50.08,1027.1,11,cv,7,0,0
1/13/2010 14:00:00,4,,,,-1,40.54,1025.1,12,SE,2,0,0
1/13/2010 15:00:00,4,,,,-1,40.54,1025.1,12,cv,2,0,0
1/13/2010 16:00:00,4,,,,0,43.6,1024,12,SE,4,0,0
1/13/2010 17:00:00,4,,,,0,46.58,1025.1,11,SE,7,0,0
1/13/2010 18:00:00,4,,,,-1,43.31,1025.1,11,SE,9,0,0
1/13/2010 19:00:00,4,,,,0,46.58,1026.1,11,NE,2,0,0
1/13/2010 20:00:00,4,,,,1,53.53,1027.1,10,cv,1,0,0
1/13/2010 21:00:00,4,,,,1,53.53,1027.1,10,cv,2,0,0
1/13/2010 22:00:00,4,,,,1,57.25,1028.1,9,cv,2,0,0
1/13/2010 23:00:00,4,,,,1,57.25,1027.1,9,cv,2,0,0
1/14/2010 00:00:00,4,,,,1,57.25,1027.1,9,SW,2,0,0
1/14/2010 01:00:00,4,,,,1,57.25,1026.1,9,cv,1,0,0
1/14/2010 02:00:00,4,,,,1,61.26,1025.1,8,cv,2,0,0
1/14/2010 03:00:00,4,,,,1,65.59,1025.1,7,cv,2,0,0
1/14/2010 04:00:00,4,,,,1,65.59,1024,7,cv,2,0,0
1/14/2010 05:00:00,4,,,,2,70.47,1023,7,cv,2,0,0
1/14/2010 06:00:00,4,,,,2,70.47,1023,7,cv,2,0,0
1/14/2010 07:00:00,4,,,,2,70.47,1023,7,cv,2,0,0
1/14/2010 08:00:00,4,,,,2,70.47,1023,7,cv,2,0,0
1/14/2010 09:00:00,4,,,,2,65.82,1023,8,cv,2,,
1/14/2010 10:00:00,4,,,,2,65.82,1024,8,cv,3,0,0
1/14/2010 11:00:00,4,,,,1,57.25,1024,9,cv,4,0,0
1/14/2010 12:00:00,4,,,,2,61.51,1023,9,cv,5,0,0
1/14/2010 13:00:00,4,,,,2,61.51,1021,9,cv,6,0,0
1/14/2010 14:00:00,4,,,,1,57.25,1020,9,cv,6,0,0
1/14/2010 15:00:00,4,,,,1,57.25,1019,9,cv,7,0,0
1/14/2010 16:00:00,4,,,,1,57.25,1019,9,cv,8,0,0
1/14/2010 17:00:00,4,,,,1,57.25,1019,9,cv,9,0,0
1/14/2010 18:00:00,4,,,,2,61.51,1019,9,cv,9,0,0
1/14/2010 19:00:00,4,,,,3,70.67,1021,8,NW,2,0,0
1/14/2010 20:00:00,4,,,,3,75.67,1022,7,NW,4,0,0
1/14/2010 21:00:00,4,,,,3,75.67,1023,7,NW,6,0,0
1/14/2010 22:00:00,4,,,,3,75.67,1023,7,NW,9,0,0
1/14/2010 23:00:00,4,,,,2,70.47,1024,7,NW,11,0,0
1/15/2010 00:00:00,4,,,,2,70.47,1025.1,7,cv,1,0,0
1/15/2010 01:00:00,4,,,,2,70.47,1025.1,7,cv,2,0,0
1/15/2010 02:00:00,4,,,,2,70.47,1025.1,7,NW,1,0,0
1/15/2010 03:00:00,4,,,,2,70.47,1025.1,7,cv,0,0,0
1/15/2010 04:00:00,4,,,,,,,,,,0,0
1/15/2010 05:00:00,4,,,,,,,,,,0,0
1/15/2010 06:00:00,4,,,,,,,,,,0,0
1/15/2010 07:00:00,4,,,,4,81.2,1027.1,7,SW,1,0,0
1/15/2010 08:00:00,4,,,,4,81.2,1028.1,7,SW,3,0,0
1/15/2010 09:00:00,4,,,,4,81.2,1029.1,7,SW,5,0,0
1/15/2010 10:00:00,4,,,,4,81.2,1029.1,7,SW,8,0,0
1/15/2010 11:00:00,4,,,,4,70.88,1030.1,9,cv,1,0,0
1/15/2010 12:00:00,4,,,,3,57.77,1029.1,11,SW,2,0,0
1/15/2010 13:00:00,4,,,,2,47.17,1028.1,13,SW,5,0,0
1/15/2010 14:00:00,4,,,,1,41.14,1027.1,14,SW,7,0,0
1/15/2010 15:00:00,4,,,,0,35.87,1027.1,15,SE,2,0,0
1/15/2010 16:00:00,4,,,,-1,35.57,1027.1,14,cv,2,0,0
1/15/2010 17:00:00,4,,,,0,40.84,1027.1,13,SE,2,0,0
1/15/2010 18:00:00,4,,,,0,43.6,1027.1,12,SE,4,0,0
